NO,Solution Depth,Nodes In Memory,Max Nodes in Memory,Nodes Expanded,Optimal Solution,Real World Time
720,35315,141390,141390,35315,0,10561906
721,73755,294850,294850,73755,0,22680861
722,14259,56923,56923,14259,0,4067917
723,25915,103478,103478,25915,0,7753078
724,43539,173894,173894,43539,0,12750839
725,4173,16646,16646,4173,0,1401198
726,83372,333190,333190,83372,0,25310737
727,17428,69746,69746,17428,0,5379931
728,2501,10104,10104,2501,0,700891
729,19561,78207,78207,19561,0,5534905
730,172726,690369,690369,172726,0,56450245
731,1385,5465,5465,1385,0,413166
732,106277,424844,424844,106277,0,32439241
733,658,2597,2597,658,0,218133
734,348,1428,1428,348,0,101464
735,34579,138277,138277,34579,0,10655767
736,45135,180219,180219,45135,0,13452021
737,20467,81901,81901,20467,0,5771753
738,30337,121334,121334,30337,0,8476192
739,30601,122400,122400,30601,0,8573270
740,19839,79368,79368,19839,0,6154508
741,31543,126328,126328,31543,0,8748127
742,5650,22395,22395,5650,0,1520791
743,81781,326874,326874,81781,0,25202841
744,31214,124821,124821,31214,0,8776198
745,79981,319645,319645,79981,0,25548169
746,110120,440196,440196,110120,0,33719969
747,68105,272282,272282,68105,0,20929364
748,22120,88270,88270,22120,0,6674109
749,31597,126044,126044,31597,0,8659821
750,49617,198076,198076,49617,0,14411982
751,6141,24605,24605,6141,0,1744187
752,55860,223621,223621,55860,0,16076051
753,10439,41695,41695,10439,0,2891285
754,72295,289417,289417,72295,0,22820922
755,133675,534536,534536,133675,0,42545875
756,79500,317696,317696,79500,0,25418050
757,35714,142409,142409,35714,0,11307827
758,8029,32101,32101,8029,0,2247413
759,3406,13621,13621,3406,0,934229
760,41923,167821,167821,41923,0,12213986
761,16994,67638,67638,16994,0,4736351
762,55264,221277,221277,55264,0,17022853
763,5253,20953,20953,5253,0,1458801
764,34648,138650,138650,34648,0,10287631
765,10107,40363,40363,10107,0,3086319
766,15171,60863,60863,15171,0,4191019
767,88837,355045,355045,88837,0,26944103
768,23022,91811,91811,23022,0,6515042
769,1317,5187,5187,1317,0,369598
770,91220,364725,364725,91220,0,27984183
771,23837,94993,94993,23837,0,6666799
772,107464,429318,429318,107464,0,32851823
773,25693,102852,102852,25693,0,7213594
774,16005,64082,64082,16005,0,4310319
775,10677,42629,42629,10677,0,2792746
776,5478,21991,21991,5478,0,1459386
777,22845,91094,91094,22845,0,6312699
778,28663,114279,114279,28663,0,8428530
779,5801,23018,23018,5801,0,1617576
780,27523,109982,109982,27523,0,7663311
781,76888,307366,307366,76888,0,23872697
782,3115,12355,12355,3115,0,872824
783,6454,25858,25858,6454,0,1724303
784,18965,75826,75826,18965,0,5282269
785,24285,97141,97141,24285,0,7795477
786,16908,67687,67687,16908,0,4791031
787,23288,93262,93262,23288,0,6416209
788,7792,31215,31215,7792,0,2146827
789,353,1433,1433,353,0,102049
790,16831,67468,67468,16831,0,4919689
791,19267,77183,77183,19267,0,5497186
792,15975,63886,63886,15975,0,4749510
793,10859,43481,43481,10859,0,3043628
794,48182,192824,192824,48182,0,14004957
795,25874,103460,103460,25874,0,7950743
796,25135,100595,100595,25135,0,6930255
797,12341,49441,49441,12341,0,3345973
798,10939,43872,43872,10939,0,2913801
799,104917,419610,419610,104917,0,31735427
800,21749,87045,87045,21749,0,6314161
801,2239,8971,8971,2239,0,619895
802,68139,272854,272854,68139,0,21064747
803,30741,123165,123165,30741,0,8560989
804,4563,18330,18330,4563,0,1280727
805,34519,138260,138260,34519,0,10523016
806,5057,20129,20129,5057,0,1457046
807,4993,19872,19872,4993,0,1406169
808,22992,92162,92162,22992,0,6619137
809,325,1229,1229,325,0,97371
810,32769,131295,131295,32769,0,9654578
811,37841,151172,151172,37841,0,12241179
812,425,1742,1742,425,0,157313
813,11713,46815,46815,11713,0,3677851
814,59606,238282,238282,59606,0,19505943
815,6501,26041,26041,6501,0,1804714
816,17579,70483,70483,17579,0,5114721
817,30295,120820,120820,30295,0,8362447
818,105294,420650,420650,105294,0,33809151
819,38307,152797,152797,38307,0,11532393
820,3898,15405,15405,3898,0,1059085
821,36782,147068,147068,36782,0,11214258
822,2629,10480,10480,2629,0,954698
823,13787,55203,55203,13787,0,3923469
824,66150,264803,264803,66150,0,20558011
825,4092,16240,16240,4092,0,1446228
826,53659,214788,214788,53659,0,15587444
